date_added,persistent_id,name,kind,podcast,bitrate,unplayed,comments,track_number,location,file_folder_count,track_id,size,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,year,artist
2022-01-04 02:36:35,03971BB86A452B6F,Introduction,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_00_v1.mp3,,14388,,,URL,Book of Mormon Prophecy,,2020-11-01 17:00:00,Podcast,,2009000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2021-12-30 22:54:09,12E16C014BE343E1,1. Avraham Gileadi Testimony,MPEG audio file,True,128,True,Book of Mormon Prophecy,1,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Book of Mormon Prophecy/01 1. Avraham Gileadi Testimony 1.mp3,4,5006,32464055,1,File,Book of Mormon Prophecy,2021-01-24 20:22:52,2020-10-31 17:00:00,Podcast,44100,2032927,2020,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2021-12-30 22:54:09,A5025EF2C8E46035,2. Who Are the Gentiles Spoken of?,MPEG audio file,True,128,True,Book of Mormon Prophecy,1,file://localhost/C:/Users/bruce/Music/iTunes/iTunes Media/Podcasts/Book of Mormon Prophecy/01 2. Who Are the Gentiles Spoken of 1.mp3,4,5002,17353561,1,File,Book of Mormon Prophecy,2021-01-24 20:22:44,2020-10-30 17:00:00,Podcast,44100,1086354,2020,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,E67A5DBDF19758BD,3. Who Are of the House of Israel?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_03_v1.mp3,,14386,,,URL,Book of Mormon Prophecy,,2020-10-29 17:00:00,Podcast,,862000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,865EA70EFB99A3AA,4. Book of Mormon Keys to Isaiah,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_04_v1.mp3,,14384,,,URL,Book of Mormon Prophecy,,2020-10-28 17:00:00,Podcast,,736000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,17C98484A275360D,5. What Are the Missing Covenants?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_05_v1.mp3,,14382,,,URL,Book of Mormon Prophecy,,2020-10-27 17:00:00,Podcast,,1187000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,861DBFEAE4104A96,6. We Ephraimite Kings and Queens,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_06_v1.mp3,,14380,,,URL,Book of Mormon Prophecy,,2020-10-26 17:00:00,Podcast,,1354000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,5B060085CD6420F2,7. Isaiah: Key to the Book of Mormon,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_07_v1.mp3,,14378,,,URL,Book of Mormon Prophecy,,2020-10-25 17:00:00,Podcast,,1221000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,078DF6C5B4F6FC6F,8. How Will History Repeat Itself?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_08_v1.mp3,,14376,,,URL,Book of Mormon Prophecy,,2020-10-24 17:00:00,Podcast,,1366000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,ECA27DFA5F3C0214,9. Who or What Is the Lord’s Arm?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_09_v1.mp3,,14374,,,URL,Book of Mormon Prophecy,,2020-10-23 17:00:00,Podcast,,1510000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,3D3E7FB81D30B028,10. Is a Great Division Prophesied?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_10_v1.mp3,,14372,,,URL,Book of Mormon Prophecy,,2020-10-22 17:00:00,Podcast,,1259000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,71B4D75A8570EF76,11. How Isaiah’s Prophecies Work,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_11_v1.mp3,,14370,,,URL,Book of Mormon Prophecy,,2020-10-21 17:00:00,Podcast,,1413000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,721D209923130A4F,12. The Atonement of Jesus Christ,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_12_v1.mp3,,14368,,,URL,Book of Mormon Prophecy,,2020-10-20 17:00:00,Podcast,,1830000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,16A08CBB6BFE9B19,13. Why “the Most Correct Book”?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_13_v1.mp3,,14366,,,URL,Book of Mormon Prophecy,,2020-10-19 17:00:00,Podcast,,1626000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,E4F31E0355DC4722,14. The Davidic Covenant in Action,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_14_v1.mp3,,14364,,,URL,Book of Mormon Prophecy,,2020-10-18 17:00:00,Podcast,,1548000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,35893A33703B5E6F,15. Effects of the Wilderness Journey,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_15_v1.mp3,,14362,,,URL,Book of Mormon Prophecy,,2020-10-17 17:00:00,Podcast,,1414000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,F3E8CAC174AA1909,16. When Will Zion Be Established?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_16_v1.mp3,,14360,,,URL,Book of Mormon Prophecy,,2020-10-16 17:00:00,Podcast,,1527000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,8E9CE9B4485634D1,17. Types of a Secret Combination,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_17_v1.mp3,,14358,,,URL,Book of Mormon Prophecy,,2020-10-15 17:00:00,Podcast,,1561000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,ED2F625374D0F1CB,18. God’s Reversal of Circumstances,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_18_v1.mp3,,14356,,,URL,Book of Mormon Prophecy,,2020-10-14 17:00:00,Podcast,,1635000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,4D052AC3B29F914C,19. Types of a Great War in the Land,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_19_v1.mp3,,14354,,,URL,Book of Mormon Prophecy,,2020-10-13 17:00:00,Podcast,,1418000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,D945D730F90B736A,20. The Latter-Day King of Assyria,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_20_v1.mp3,,14352,,,URL,Book of Mormon Prophecy,,2020-10-12 17:00:00,Podcast,,1774000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,A34129AAEF5EC726,21. What Is “Hardening the Heart”?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_21_v1.mp3,,14350,,,URL,Book of Mormon Prophecy,,2020-10-11 17:00:00,Podcast,,1394000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,B242A44946AFB30A,22. What Is “Ripening in Iniquity”?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_22_v1.mp3,,14348,,,URL,Book of Mormon Prophecy,,2020-10-10 17:00:00,Podcast,,1204000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,1BBDF44A8DBA7C93,23. A Decreed “Utter Destruction”,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_23_v1.mp3,,14346,,,URL,Book of Mormon Prophecy,,2020-10-09 17:00:00,Podcast,,1443000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,A4C334DEF9763308,24. Greater Things and Lesser Things,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_24_v1.mp3,,14344,,,URL,Book of Mormon Prophecy,,2020-10-08 17:00:00,Podcast,,1076000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,F1D44E60880698FE,25. The Mission of God’s Servant,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_25_v1.mp3,,14342,,,URL,Book of Mormon Prophecy,,2020-10-07 17:00:00,Podcast,,1934000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,BD4D7BB031E5E41A,26. Who Are the Endtime Servants?,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_26_v1.mp3,,14340,,,URL,Book of Mormon Prophecy,,2020-10-06 17:00:00,Podcast,,1302000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,AFC56DBCEC1C5D87,27. Translated Beings as Exemplars,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_27_v1.mp3,,14338,,,URL,Book of Mormon Prophecy,,2020-10-05 17:00:00,Podcast,,1365000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,AD9028DA004FE035,28. On Becoming Brothers of Jared,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_28_v1.mp3,,14336,,,URL,Book of Mormon Prophecy,,2020-10-04 17:00:00,Podcast,,1800000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,6FDB3365A292F4DC,29. The Coming of One Like Moses,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_29_v1.mp3,,14334,,,URL,Book of Mormon Prophecy,,2020-10-03 17:00:00,Podcast,,1695000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
2022-01-04 02:36:35,3DA09A8B226B65D4,30. Types of the Coming of Christ,,True,,True,,,https://downloads.isaiahinstitute.com/bookofmormonprophecypodcast/Episode_30_v1.mp3,,14332,,,URL,Book of Mormon Prophecy,,2020-10-02 17:00:00,Podcast,,1816000,,"Avraham Gileadi, Ph.D., the Isaiah Institute"
